시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202110,6,"28,000",14,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,202,202,0,송정한신,43.38,202110,7,"12,800",9,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202110,12,"25,100",12,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202110,14,"25,500",10,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,202,202,0,송정한신,43.38,202110,26,"13,970",2,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202110,7,"24,800",15,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202110,20,"23,600",11,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202110,22,"34,400",11,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202110,25,"22,500",2,2005,경강로2539번길 23,,-,-
강원도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,84.9964,202110,30,"40,900",13,2017,화부산로40번길 29,,-,-
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202110,8,"27,500",1,1999,가작로 78,,-,-
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,202110,12,"18,150",2,1999,가작로 78,,-,-
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,202110,14,"35,800",7,1999,교동광장로 138-15,,-,-
강원도 강릉시 교동,1767,1767,0,교동2현대,99.98,202110,19,"41,000",2,1999,교동광장로 138-15,,-,-
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,202110,29,"34,200",1,1999,교동광장로 138-15,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202110,2,"26,500",15,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202110,7,"27,400",7,2002,교동광장로 138-12,20211014,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202110,7,"27,400",7,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202110,8,"25,500",4,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202110,11,"23,200",1,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202110,18,"25,000",6,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202110,21,"26,000",13,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,202110,28,"29,000",13,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,18-16,18,16,교동대림,59.84,202110,30,"16,000",1,1997,수리골길17번길 21,,-,-
강원도 강릉시 교동,Nov-37,37,11,교동임대,51.66,202110,27,"9,800",5,1987,명륜로 109-4,,-,-
강원도 강릉시 교동,332-2,332,2,대인맨션,84.72,202110,1,"16,500",1,1991,화부산로141번길 45,,-,-
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202110,1,"16,800",12,1999,정원로 53-4,,-,-
강원도 강릉시 교동,1773,1773,0,부영1,59.58,202110,18,"19,000",10,1999,정원로 53-4,,-,-
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202110,21,"16,700",14,1999,정원로 53-4,,-,-
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202110,12,"28,000",1,2001,하슬라로 124,,-,-
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202110,14,"48,000",6,1999,원대로128번길 14,,-,-
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202110,20,"49,500",8,1999,원대로128번길 14,,-,-
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,202110,6,"17,000",11,1992,홍제로 7-17,,-,-
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202110,7,"6,200",3,1988,관대길 63,,-,-
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202110,14,"5,000",5,1988,관대길 63,,-,-
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202110,19,"4,000",3,1988,관대길 63,,-,-
강원도 강릉시 내곡동,Jan-75,75,1,관동2,49.94,202110,31,"7,500",5,1992,남산초교길12번길 11,,-,-
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,202110,12,"10,900",1,1993,남부로125번길 37,,-,-
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,202110,17,"10,000",8,1993,남부로125번길 37,,-,-
강원도 강릉시 내곡동,127,127,0,남산삼익,84.48,202110,18,"17,300",1,1993,남부로125번길 37,,-,-
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,202110,24,"10,600",2,1993,남부로125번길 37,,-,-
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.99,202110,24,"24,700",4,1998,범일로 645,,-,-
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.99,202110,28,"24,800",6,1998,범일로 645,,-,-
강원도 강릉시 내곡동,Apr-75,75,4,내곡시영,46.68,202110,1,"7,000",3,1990,남산초교길 22,,-,-
