자치구,한국인,등록외국인,고령자
합계,"9,542,256","223,613","1,592,339"
종로구,"145,512","8,806","27,776"
중구,"122,858","9,085","24,225"
용산구,"224,145","14,155","38,906"
성동구,"287,820","6,320","46,053"
광진구,"341,112","12,268","51,278"
동대문구,"337,846","13,780","61,759"
중랑구,"388,554","4,595","70,908"
성북구,"432,628","9,089","74,235"
강북구,"300,887","3,370","63,914"
도봉구,"318,718","1,993","63,448"
노원구,"513,053","3,985","87,537"
은평구,"474,062","3,899","86,724"
서대문구,"306,249","10,166","54,056"
마포구,"369,903","9,622","54,260"
양천구,"449,010","3,245","67,880"
강서구,"575,875","5,390","91,505"
구로구,"397,506","24,855","71,930"
금천구,"230,644","14,243","40,691"
영등포구,"377,536","24,278","62,108"
동작구,"387,117","9,005","66,306"
관악구,"488,029","13,543","79,444"
서초구,"416,285","3,760","60,493"
강남구,"533,359","4,716","77,222"
송파구,"659,385","5,611","96,453"
강동구,"464,163","3,834","73,228"
